epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5227,1.5256,1.81831,1.22605,0.95176,0.96366,0.97534,0.56592,1.33924,1.0268,1.16807,0.000552509,0.000552509,0.000552509
2,128.809,1.35613,0.98131,1.16063,0.94259,0.94666,0.97319,0.57324,1.38428,0.8349,1.17922,0.00108623,0.00108623,0.00108623
3,191.508,1.35224,0.82135,1.18007,0.84288,0.90843,0.92576,0.50771,1.39082,0.89544,1.22022,0.00159795,0.00159795,0.00159795
4,254.11,1.33155,0.7669,1.1821,0.91262,0.95882,0.968,0.56687,1.33618,0.74836,1.18273,0.00156798,0.00156798,0.00156798
5,316.612,1.3018,0.73628,1.17104,0.92299,0.9501,0.95681,0.55887,1.41261,0.70197,1.22532,0.00153497,0.00153497,0.00153497
6,379.568,1.26863,0.70095,1.15702,0.95438,0.9628,0.97229,0.60624,1.30183,0.65252,1.18233,0.00150197,0.00150197,0.00150197
7,442.562,1.24835,0.68217,1.14985,0.90295,0.94216,0.94895,0.55097,1.37703,0.7128,1.20918,0.00146896,0.00146896,0.00146896
8,505.257,1.23739,0.66884,1.1451,0.96452,0.97473,0.98192,0.63175,1.21353,0.62887,1.13884,0.00143595,0.00143595,0.00143595
9,567.076,1.22197,0.65115,1.13981,0.95951,0.97238,0.98268,0.63152,1.23757,0.60982,1.1491,0.00140295,0.00140295,0.00140295
10,630.286,1.21313,0.6405,1.1371,0.96579,0.97917,0.98442,0.64311,1.19942,0.59469,1.13748,0.00136994,0.00136994,0.00136994
11,693.15,1.20238,0.63167,1.13166,0.95902,0.97287,0.98126,0.62341,1.25358,0.60783,1.16889,0.00133693,0.00133693,0.00133693
12,755.892,1.18446,0.62176,1.12277,0.96234,0.97335,0.9795,0.64138,1.22064,0.59432,1.14562,0.00130393,0.00130393,0.00130393
13,818.96,1.17742,0.61001,1.11854,0.97516,0.9845,0.9861,0.63664,1.22651,0.57657,1.14198,0.00127092,0.00127092,0.00127092
14,881.462,1.15893,0.60543,1.11486,0.9654,0.97343,0.98155,0.6465,1.2157,0.56899,1.14232,0.00123791,0.00123791,0.00123791
15,943.084,1.15919,0.60489,1.11591,0.96504,0.97641,0.98206,0.62898,1.24465,0.56624,1.15659,0.00120491,0.00120491,0.00120491
16,1005.72,1.14816,0.59613,1.11009,0.97411,0.97965,0.98615,0.64374,1.21845,0.55938,1.13387,0.0011719,0.0011719,0.0011719
17,1068.97,1.14205,0.58637,1.10987,0.96876,0.97651,0.98024,0.64519,1.19821,0.53405,1.13833,0.00113889,0.00113889,0.00113889
18,1132.43,1.12646,0.57987,1.10536,0.96313,0.97674,0.97717,0.62644,1.24977,0.56704,1.16673,0.00110589,0.00110589,0.00110589
19,1195.71,1.11962,0.57351,1.10495,0.97273,0.9811,0.98639,0.66355,1.1824,0.55492,1.12896,0.00107288,0.00107288,0.00107288
20,1257.54,1.11187,0.56667,1.09671,0.97687,0.98207,0.98565,0.66929,1.17075,0.52342,1.12863,0.00103987,0.00103987,0.00103987
21,1319.42,1.10629,0.55871,1.09302,0.97736,0.98304,0.98654,0.66298,1.17066,0.53706,1.12834,0.00100687,0.00100687,0.00100687
22,1381.16,1.09785,0.55818,1.09176,0.97441,0.97771,0.9852,0.66937,1.16958,0.53327,1.13438,0.000973861,0.000973861,0.000973861
23,1443.29,1.10299,0.55602,1.0944,0.98071,0.98549,0.98774,0.67397,1.15682,0.5134,1.12168,0.000940855,0.000940855,0.000940855
24,1506.71,1.0871,0.5497,1.08744,0.97297,0.9782,0.98232,0.67449,1.1436,0.52968,1.1266,0.000907848,0.000907848,0.000907848
25,1569.31,1.08386,0.55001,1.08591,0.97154,0.97597,0.98404,0.66962,1.16506,0.53259,1.13132,0.000874842,0.000874842,0.000874842
26,1630,1.07022,0.53508,1.07888,0.97452,0.98227,0.98574,0.67677,1.14301,0.50246,1.12286,0.000841835,0.000841835,0.000841835
27,1691.64,1.06943,0.52805,1.08123,0.97972,0.98294,0.98574,0.68622,1.13854,0.4905,1.11118,0.000808828,0.000808828,0.000808828
28,1754.97,1.06446,0.53129,1.08153,0.9754,0.98304,0.98378,0.67877,1.11821,0.50492,1.11251,0.000775822,0.000775822,0.000775822
29,1818.76,1.0657,0.52808,1.08195,0.97675,0.98353,0.98563,0.68129,1.13697,0.50549,1.11903,0.000742815,0.000742815,0.000742815
30,1882.72,1.05399,0.52437,1.07659,0.97102,0.97917,0.98477,0.67472,1.14263,0.50506,1.13017,0.000709809,0.000709809,0.000709809
31,1945.92,1.04593,0.52588,1.07668,0.97235,0.98014,0.98493,0.67958,1.12728,0.49775,1.12607,0.000676802,0.000676802,0.000676802
32,2009.01,1.04244,0.51649,1.07078,0.9732,0.98256,0.98571,0.68934,1.11185,0.4904,1.10868,0.000643795,0.000643795,0.000643795
33,2071.93,1.03809,0.52218,1.07303,0.97246,0.98207,0.98433,0.67896,1.12248,0.4889,1.11492,0.000610789,0.000610789,0.000610789
34,2134.88,1.03412,0.51475,1.06899,0.97614,0.98353,0.98409,0.69454,1.09729,0.47395,1.10398,0.000577782,0.000577782,0.000577782
35,2197.59,1.02595,0.50648,1.06559,0.97536,0.9783,0.98454,0.68671,1.10671,0.48008,1.11313,0.000544776,0.000544776,0.000544776
36,2259.35,1.02481,0.50577,1.06439,0.9762,0.98159,0.98377,0.68972,1.10597,0.47398,1.10623,0.000511769,0.000511769,0.000511769
37,2322.54,1.01089,0.4967,1.05721,0.97314,0.98014,0.98286,0.68392,1.13629,0.47962,1.12269,0.000478762,0.000478762,0.000478762
38,2386.35,1.01556,0.49927,1.05728,0.97354,0.98026,0.98453,0.69127,1.10716,0.47248,1.1113,0.000445756,0.000445756,0.000445756
39,2450.11,1.00115,0.4906,1.04985,0.97583,0.98304,0.98501,0.69328,1.10186,0.47118,1.10981,0.000412749,0.000412749,0.000412749
