epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.376,1.57502,2.34042,1.2942,0.94227,0.94963,0.96167,0.54113,1.45159,1.14638,1.27219,0.00332041,0.00332041,0.00332041
2,550.544,1.37716,1.0615,1.22482,0.89741,0.9342,0.94192,0.53102,1.4983,0.99191,1.32507,0.00658787,0.00658787,0.00658787
3,820.755,1.39084,0.90889,1.26369,0.91143,0.89683,0.94586,0.53681,1.59991,0.95964,1.39916,0.00978934,0.00978934,0.00978934
4,1100.87,1.39217,0.86079,1.29164,0.93738,0.92648,0.96103,0.55037,1.53325,0.83913,1.38253,0.009703,0.009703,0.009703
5,1376.3,1.35579,0.80068,1.28215,0.94071,0.92567,0.96778,0.58513,1.48127,0.80013,1.3491,0.009604,0.009604,0.009604
6,1638.32,1.32834,0.76261,1.26883,0.96013,0.9684,0.98228,0.58999,1.48166,0.69815,1.34755,0.009505,0.009505,0.009505
7,1903.1,1.30934,0.74147,1.26711,0.95325,0.95251,0.97724,0.591,1.42338,0.69992,1.32117,0.009406,0.009406,0.009406
8,2171.85,1.29203,0.72765,1.26116,0.95303,0.96423,0.97984,0.61134,1.39801,0.70166,1.30263,0.009307,0.009307,0.009307
9,2435.13,1.2834,0.70593,1.2515,0.95633,0.96942,0.98471,0.61318,1.43238,0.65753,1.33499,0.009208,0.009208,0.009208
10,2704.59,1.26672,0.69474,1.24827,0.96931,0.98091,0.98292,0.62001,1.37901,0.60567,1.30756,0.009109,0.009109,0.009109
11,2970.2,1.25749,0.68171,1.23851,0.96398,0.97482,0.98147,0.60837,1.38509,0.61888,1.31952,0.00901,0.00901,0.00901
12,3235.58,1.24226,0.6729,1.23198,0.96292,0.96872,0.97645,0.60773,1.4093,0.64919,1.31301,0.008911,0.008911,0.008911
13,3512.61,1.23244,0.66044,1.22854,0.97054,0.97697,0.98471,0.64153,1.35422,0.59184,1.28357,0.008812,0.008812,0.008812
14,3788.59,1.23345,0.65153,1.22568,0.96099,0.97441,0.9779,0.6106,1.3873,0.61671,1.3057,0.008713,0.008713,0.008713
15,4053.95,1.22544,0.65185,1.22692,0.96123,0.96666,0.97742,0.61616,1.36113,0.62822,1.28952,0.008614,0.008614,0.008614
16,4319.58,1.21387,0.64028,1.21952,0.96392,0.97654,0.97978,0.63043,1.35852,0.57602,1.30015,0.008515,0.008515,0.008515
17,4586,1.21557,0.64274,1.21808,0.96581,0.97563,0.97819,0.61572,1.37573,0.58216,1.31332,0.008416,0.008416,0.008416
18,4855.04,1.21128,0.63129,1.22221,0.96317,0.9671,0.97512,0.62001,1.34742,0.60456,1.29103,0.008317,0.008317,0.008317
19,5132.67,1.20014,0.6186,1.21284,0.9697,0.97847,0.98143,0.64069,1.31821,0.55901,1.26473,0.008218,0.008218,0.008218
20,5408.92,1.1948,0.6228,1.21002,0.97736,0.98181,0.9851,0.65029,1.31152,0.54955,1.26465,0.008119,0.008119,0.008119
21,5673.2,1.18536,0.61268,1.20341,0.96888,0.97604,0.97909,0.6419,1.31205,0.56429,1.27347,0.00802,0.00802,0.00802
22,5939.01,1.18845,0.61024,1.20781,0.96739,0.97603,0.9781,0.63091,1.32547,0.55575,1.27318,0.007921,0.007921,0.007921
23,6205.77,1.17811,0.61501,1.20547,0.9733,0.97731,0.98228,0.65324,1.30755,0.54927,1.27604,0.007822,0.007822,0.007822
24,6469.09,1.17454,0.60296,1.20105,0.97127,0.97807,0.98387,0.6466,1.33402,0.53961,1.27823,0.007723,0.007723,0.007723
25,6740.54,1.16971,0.60318,1.19437,0.97164,0.97157,0.9805,0.65025,1.31805,0.55117,1.27601,0.007624,0.007624,0.007624
26,7010.85,1.17179,0.59939,1.19713,0.97192,0.9801,0.9847,0.65765,1.30023,0.51742,1.25823,0.007525,0.007525,0.007525
27,7274.19,1.15899,0.59029,1.19117,0.96943,0.97905,0.9836,0.64715,1.30736,0.52121,1.2818,0.007426,0.007426,0.007426
28,7547.61,1.16395,0.58779,1.19414,0.97564,0.98172,0.98579,0.66918,1.27539,0.51877,1.24583,0.007327,0.007327,0.007327
