epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3118,1.62474,2.15114,1.43075,0.91795,0.93778,0.95847,0.52874,1.38258,1.2421,1.2258,0.00331439,0.00331439,0.00331439
2,126.623,1.36483,1.19476,1.18863,0.8278,0.90359,0.92692,0.51287,1.34632,1.03525,1.19253,0.00658191,0.00658191,0.00658191
3,187.037,1.36014,0.95418,1.17912,0.7385,0.7093,0.82118,0.42975,1.46262,1.2213,1.29162,0.00978344,0.00978344,0.00978344
4,247.389,1.35624,0.84672,1.20213,0.90605,0.9094,0.95382,0.51546,1.54361,0.83952,1.30702,0.009703,0.009703,0.009703
5,308.36,1.31955,0.78134,1.19887,0.89135,0.92612,0.93792,0.52666,1.3853,0.85562,1.22643,0.009604,0.009604,0.009604
6,369.226,1.2892,0.73419,1.19039,0.90148,0.94431,0.93023,0.4964,1.51605,0.79415,1.25842,0.009505,0.009505,0.009505
7,430.514,1.27165,0.7105,1.18641,0.94826,0.9501,0.96744,0.5693,1.35332,0.74921,1.24423,0.009406,0.009406,0.009406
8,491.77,1.25669,0.69992,1.18279,0.94809,0.97332,0.97561,0.59268,1.29719,0.6862,1.18483,0.009307,0.009307,0.009307
9,553.347,1.24236,0.68071,1.1743,0.95071,0.96609,0.97709,0.60484,1.30462,0.68154,1.19771,0.009208,0.009208,0.009208
10,614.607,1.22761,0.66614,1.17069,0.96942,0.98159,0.9838,0.62691,1.24407,0.63125,1.16549,0.009109,0.009109,0.009109
11,676.257,1.22398,0.65804,1.1688,0.97324,0.97481,0.98235,0.6117,1.32177,0.64492,1.20929,0.00901,0.00901,0.00901
12,737.591,1.20586,0.65251,1.16472,0.96764,0.98502,0.9826,0.64152,1.20623,0.61306,1.1599,0.008911,0.008911,0.008911
