epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.995,1.62346,1.54218,1.29253,0.95945,0.96296,0.97499,0.54622,1.4459,0.69647,1.20015,0.00332196,0.00332196,0.00332196
2,218.518,1.33936,0.7458,1.16206,0.8568,0.89874,0.9085,0.47765,1.51508,1.00481,1.29814,0.0065894,0.0065894,0.0065894
3,329.911,1.35376,0.76376,1.19231,0.89584,0.95002,0.94558,0.55021,1.40415,0.95089,1.26551,0.00979085,0.00979085,0.00979085
4,440.954,1.36586,0.76571,1.2262,0.63959,0.44477,0.46857,0.22945,3.42696,4.71857,2.92639,0.009703,0.009703,0.009703
5,551.135,1.3109,0.7246,1.20798,0.95557,0.97529,0.98157,0.57404,1.39484,0.80834,1.25922,0.009604,0.009604,0.009604
6,659.905,1.2782,0.69095,1.19491,0.9527,0.96172,0.97055,0.57248,1.38551,0.70246,1.24255,0.009505,0.009505,0.009505
7,768.453,1.2476,0.66853,1.18485,0.96161,0.97097,0.98258,0.63143,1.28362,0.65465,1.21848,0.009406,0.009406,0.009406
8,877.115,1.23594,0.65521,1.17664,0.92855,0.95058,0.9629,0.5779,1.33714,0.67019,1.23364,0.009307,0.009307,0.009307
9,986.053,1.21794,0.63923,1.18062,0.95335,0.97287,0.97951,0.61278,1.32225,0.67075,1.22799,0.009208,0.009208,0.009208
10,1094.73,1.19998,0.62594,1.16886,0.96258,0.97208,0.97863,0.62607,1.30967,0.62015,1.22656,0.009109,0.009109,0.009109
11,1202.89,1.19113,0.61773,1.16856,0.96148,0.97967,0.97624,0.62132,1.25922,0.60949,1.21868,0.00901,0.00901,0.00901
12,1311.42,1.18018,0.6156,1.16429,0.96099,0.96682,0.97709,0.62903,1.26683,0.65085,1.21086,0.008911,0.008911,0.008911
13,1420.84,1.16036,0.60131,1.15653,0.97359,0.98216,0.98603,0.64684,1.2388,0.59341,1.21169,0.008812,0.008812,0.008812
14,1530.77,1.1603,0.60159,1.16243,0.97266,0.98353,0.98623,0.67329,1.23809,0.55609,1.19195,0.008713,0.008713,0.008713
15,1639.86,1.14472,0.59348,1.15166,0.97259,0.97992,0.98455,0.64738,1.27092,0.5866,1.19784,0.008614,0.008614,0.008614
16,1748.53,1.14577,0.58743,1.15585,0.97226,0.98159,0.98594,0.67247,1.18226,0.58916,1.16817,0.008515,0.008515,0.008515
17,1857.8,1.1358,0.58111,1.15118,0.97213,0.98027,0.98176,0.65359,1.21724,0.57435,1.19288,0.008416,0.008416,0.008416
